French,English
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
revoir,meet again
aucune,any
place,square
parle,speak
étaient,were
pourrais,could
affaire,case
type,type
leurs,their
corps,body
façon,way
main,hand
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
minutes,minutes
mis,placed
droit,law
aimerais,would like to
espère,hope
eau,water
parti,left
boulot,job
arrêter,Stop
terre,Earth
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
bureau,office
